tt2057441	Mujhse Fraaandship Karoge	2	2	106	0.5	84954	3	7
tt2181931	English Vinglish	2	2	134	1	3276135	16	7.9
tt2350496	The Lunchbox	4.1	2	104	2	1118288	3	7.8
tt2356180	Bhaag Milkha Bhaag	3.875	2	186	3	2599067	15	8.3
tt2621000	Jolly LLB	3.66667	2	135	1	164242	7	7.2
tt1375789	Race 2	3.66667	2.5	150	6	8206650	8	5.3
tt0243356	Kaun Kitney Pani Mein	2	2	120	1	738471	2	5.5
tt3382148	Yaariyan	3	2	145	1	3403332	3	2.7
tt2905838	Bang Bang	3.5	2	153	1	16190776	7	5.5
tt2309764	Singham Returns	3.625	3	142	11	8532359	7	5.7
tt2372222	Kick	4.1	2	146	14	11466745	7	5.5
tt4535650	Dilwale	3.5	3	158	10	25346323	7	5.4
tt4323504	Jazbaa	4	3	119	3	8125557	7	5.8
tt4272420	Kuch Kuch Locha Hai	2	2	143	1	6488394	2	2.7
tt3495030	Dum Laga Ke Haisha	3	2	110	1	3675795	3	7.5
tt1926313	Pyaar Ka Punchnama	2	2	149	0.5	377420	3	7.8
tt2317337	Vicky Donor	3	4.5	126	0.5	2186299	3	7.8
tt2633826	Mumbai Mirror	2	2	120	3	25360	8	5.6
tt2855648	Madras Cafe	3.66	4.5	130	3	1922000	18	7.8
tt3129282	War Chhod Na Yaar	3.5	2	119	1	316592	11	5.6
tt2385104	D-Day	4	3	153	3	2021472	8	7.3
tt3469244	Phantom	3	3.5	136	5	6769152	8	5.6
tt3142232	Heropanti	2.5	2	146	2	327323	7	5.6
tt1239276	Colours of Passion	3.85715	2	132	1	1259456	18	7.2
tt3380264	Kill Dil	2	2	127	3	343519	7	4.5
tt1188982	Jai Ho	3.7	2	135	6	1105693	7	5.5
tt3735246	Bajirao Mastani	4	4	158	12	12106304	18	7.2
tt3696192	Singh Is Bliing	4.2	2.5	140	9	2274654	7	5.5
tt2140465	Tanu Weds Manu Returns	3.5	3.5	128	3	9128403	3	7.8
tt4430212	Drishyam	3.875	2	163	6	7963557	12	8.7
tt1694542	Tanu Weds Manu	2	3.5	113	1	84706	3	6.6
tt2402131	Kismet Love Paisa Dilli	2	2	129	1	151811	6	4.3
tt2229842	Table No. 21	3.85	2	108	1	14273	8	7.1
tt2429640	Murder 3	2.75	2	124	1	308288	8	4.8
tt2357489	Zanjeer	3.875	2	137	10	2631037	8	3.2
tt2362778	Saheb Biwi Aur Gangster Returns	3	3.5	142	1	1263551	7	6.9
tt2767712	Badlapur Boys	2	2	123	5	511823	2	5.5
tt4168188	Chaar Sahibzaade	3.875	2	128	2	2145923	14	8.7
tt3678938	Humpty Sharma Ki Dulhania	3.75	2	133	2	6925936	3	6
tt3142688	Finding Fanny	3.125	2	102	1	6261479	3	5.9
tt2461132	Happy New Year	3.5	3	180	15	6761803	7	5.4
tt4865436	Hate Story 3	2	2	126	1	26576840	8	4.4
tt4897908	Calendar Girls	2	3	131	9	2935407	2	4
tt3447364	Detective Byomkesh Bakshy!	3.5	4.5	139	3	3269226	12	7.8
tt3678782	Badlapur	4.1	4	128	2	4962589	7	7.5
tt1734110	No One Killed Jessica	2	2	136	0.5	1279178	15	7.2
tt1954470	Gangs of Wasseypur	4.1	4	320	0.5	1555595	7	8.3
tt2171454	Zila Ghaziabad	3.85715	2	142	3	1592008	8	3.5
tt2476154	Grand Masti	3.5	3.5	137	3	3620905	3	4.3
tt2861320	Policegiri	3.875	2	141	2	1985403	7	4.1
tt2178470	Yeh Jawaani Hai Deewani	3.125	3.5	160	5	5502114	9	6.9
tt4228746	Zid	2	2	126	1	327146	8	4.4
tt3619772	Hate Story 2	2.5	2	130	1	14476950	8	4.5
tt2762334	Main Tera Hero	3.5	2	128	4	5128073	7	5.3
tt2372678	2 States	2.5	2	149	3	8944460	3	7.1
tt3531852	Bhoothnath Returns	4.5	3.5	155	2	3330035	13	6.9
tt3148502	Tamasha	4	4	139	6	13941249	3	7.2
tt4302956	Kis Kisko Pyaar Karu	2	2	133	1	5851719	3	6
tt4338154	Hawaizaada	2	2	148	2	2488899	15	5.7
tt3398048	Tevar	3.875	2	157	4	6389609	7	4.1
tt1562872	Zindagi Na Milegi Dobara	3.875	4	155	5	711760	6	8.1
tt2168910	Cocktail	3.125	2	146	3	5441363	3	6.2
tt2199711	Vishwaroopam	4	2	148	9	725823	7	8.7
tt2275794	Gori Tere Pyaar Mein	3.625	2	150	3	3980610	3	5
tt2344678	Himmatwala	3.85715	2	150	6	2582655	7	1.8
tt1833673	Dhoom:3	3.5	2	172	17	21417255	8	5.5
tt2392447	Ungli	3.5	2.5	114	1	2869333	8	5.8
tt3322420	Queen	3.8	2	146	1	3272757	6	8.4
tt2978626	Entertainment	4.2	2	140	7	6589274	7	4.8
tt3017412	Happy Ending	2	2.5	135	5	5350229	3	5.5
tt3742284	Nh10	2	2	115	1	6142773	7	7.2
tt4501576	Dirty Politics	3	2	130	7	2466795	2	2.7
tt3619710	Bhaag Johnny	2.5	2	118	2	3387973	8	5.1
tt2202086	Ab Tak Chhappan 2	2	2.5	105	1	711769	7	5.8
tt4110568	Dil Dhadakne Do	3.875	4	170	8	1972265	16	6.8
tt1618430	Dum Maaro Dum	3.5	2	128	3	47594	7	6.2
tt2178508	Son of Sardaar	3.66667	2	141	3	3618432	7	4
tt2106537	Matru ki Bijlee ka Mandola	3	4	151	4	527395	2	5.8
tt2369154	R... Rajkumar	2	2.5	146	4	6360883	7	5.1
tt2215477	Goliyon Ki Rasleela Ram-Leela	3.125	4	150	8	10008845	9	6.3
tt1986040	Ishkq in Paris	3.5	2	95	1	671339	3	4.2
tt3501994	Hawaa Hawaai	3	2	120	1	103319	17	7.5
tt3173910	Hasee Toh Phasee	2.5	3	141	2	2639617	3	6.9
tt2556308	Holiday	4.2	3.5	170	5	96913	12	7.5
tt3036740	Humshakals	3.5	2	159	7	1031569	1	1.8
tt3547616	All Is Well	3.5	3	126	2	4924478	3	3.9
tt4355892	Mumbai Can Dance Saalaa	2	2	135	3	54791	2	3.2
tt2631186	Baahubali: The Beginning	4	4	159	25	14098423	7	8.5
tt3679000	Any Body Can Dance 2	2.5	2.5	154	6	614646	9	5.6
tt2976182	Roy	2.5	2	146	4	8033921	7	3.2
tt1754920	Yeh Saali Zindagi	4	2	130	0.5	8734	8	7.5
tt2172071	Student of the Year	3.5	3.5	146	5	5135829	3	5.5
tt2066062	Shortcut Romeo	2.5	2	146	1	1198846	7	2.4
tt2615584	Phata Poster Nikhla Hero	2	3	146	4	5396017	7	4.9
tt2224317	Lootera	2	2	136	2	2659109	3	7.4
tt2112124	Chennai Express	4	3	141	11	3041471	7	5.9
tt3514330	Youngistaan	3.66667	1	133	6	105821	2	5.3
tt3554418	Khoobsurat	3	2	130	2	5738253	3	6.4
tt3398052	Daawat-e-Ishq	3	2	118	2	4007142	3	6.2
tt3390572	Haider	3.7	4	160	2	7334098	7	8.3
tt3483612	Hamari Adhuri Kahaani	3.5	3	129	3	5023886	2	6.6
tt3595298	Prem Ratan Dhan Payo	3.16667	3	164	11	21839934	9	4.9
tt3948240	Second Hand Husband	3.5	3	105	1	1414276	1	4
tt2424988	Gabbar is Back	4.2	3.5	128	7	5657011	7	7.3
tt2979920	Bombay Velvet	2.5	4	149	12	6466027	8	5.8
tt1839596	Rockstar	2	4	159	6	46569	9	7.6
tt2438764	Rajjo	2	2	135	1	1758407	3	3.8
tt2229848	Chashme Baddoor	2	2	121	2	1742445	2	5.4
tt2359810	Raanjhanaa	3.75	3.5	140	3	5711718	3	7.6
tt2804026	Aurangzeb	2	2	137	2	1988860	8	6.6
tt3415692	Mahabharat	4.5	2.5	105	5	137494	14	5.6
tt3303416	Ya Rab	2	2	120	2	329185	2	6.4
tt3175038	Ek Villain	3.5	3	129	3	4970375	7	6.4
tt3483712	Raja Natwarlal	3.5	2	141	3	4122759	8	6.1
tt3645014	The Xpose	4	2	113	1	326364	8	3.3
tt4500734	Ek Paheli Leela	3	2	145	1	17760865	12	3.8
tt4024944	Main Aur Charles	3.5	2	123	6	2324588	15	6.3
tt3742284	Nh10	2	2	115	1	6142773	7	7.2
tt3802576	Brothers	4.2	2	156	8	11696857	17	6.8
tt3863552	Bajrangi Bhaijaan	4.1	3.5	163	9	7237605	7	8.1
tt1729637	Bodyguard	3.625	6	130	6	6443051	7	4.5
tt3059106	Satya 2	2	2.5	142	1	44278	5	5.9
tt2988272	Shuddh Desi Romance	3.5	3.5	141	2	3820970	3	5.8
tt2246724	Ghanchakkar	3.5	2	137	3	2316885	8	5.7
tt2301155	Shootout at Wadala	3.667	3	155	4	939709	7	5.8
tt2275802	Satyagraha	4.5	3.5	152	5	1462786	2	6
tt3001638	Mary Kom	3.875	2	122	1	6314572	17	6.8
tt3495000	Mardaani	2.5	2	113	1	4563876	8	7.4
tt2675978	Dedh Ishqiya	2	2	152	1	2379716	3	7.3
tt2574698	Gunday	4	2	152	5	2614814	7	2
tt4271730	Alone	2.66667	2	133	1	9520032	4	3.7
tt4354740	Dharam Sankat Mein	3.875	2	129	1	1455518	1	6.2
tt4332114	Dolly Ki Doli	3.75	2	98	2	2680347	3	4.6
tt3848892	Baby	4.2	4.5	159	5	8444760	8	8.2
tt3767372	Piku	4.5	4.5	123	4	6325192	2	7.6
tt1562871	Ra.One	3.5	2.5	156	13	1720576	10	4.8
tt2796318	Mickey Virus	2	2	135	1	211144	8	6.1
tt2213054	Kai po che!	3.5	2	120	3	50121	17	7.7
tt2406676	Ek Thi Daayan	3.5	2	127	2	1930238	8	5.7
tt2551378	Bullett Raja	2	3.5	138	5	255311	7	5.1
tt1029231	Krrish 3	4.5	3.5	152	9	24606605	10	5.4
tt3359290	Bobby Jasoos	3	2	121	1	3166047	8	5.5
tt2980794	Highway	2.5	4	133	3	3246950	6	7.6
tt0403935	Action Jackson	2	2.5	144	1	13919307	7	3.3
tt2338151	PK	3.66667	4.5	153	8	14895545	3	8.3
tt3159708	Welcome Back	3.66667	2.5	152	8	8129696	7	4.2
tt4007558	Shaandaar	2	2	144	13	12527774	3	3.6
tt3422462	Bangistan	3.5	2	135	2	2749407	1	4.5
tt4684028	Guddu Rangeela	2.75	2	124	1	1974110	2	5.3
tt3836958	Shamitabh	4.5	3.5	155	2	3987783	8	6.9
